Date,ActualSales,PredictedSales,Model
2023-11-02,2544.73,2584.5502289126803,Random Forest
2023-11-03,2352.2,2318.4548858607945,Random Forest
2023-11-04,2284.5,2307.15893053667,Random Forest
2023-11-05,2239.16,2227.3942151834963,Random Forest
2023-11-06,2436.5699999999997,2445.5392203242445,Random Forest
2023-11-07,2552.93,2563.111807120567,Random Forest
2023-11-08,2768.7375,2735.015897604216,Random Forest
2023-11-09,2570.87,2568.100991736046,Random Forest
2023-11-10,2238.0,2272.4377898039124,Random Forest
2023-11-11,2352.68,2385.994689768245,Random Forest
2023-11-12,2163.16,2173.6607571428353,Random Forest
2023-11-13,2615.35,2639.4351610465305,Random Forest
2023-11-14,2584.77,2574.7387332087656,Random Forest
2023-11-15,2615.29,2620.7961539886164,Random Forest
2023-11-16,2506.36,2516.965099839745,Random Forest
2023-11-17,2471.50875,2431.6162646936423,Random Forest
2023-11-18,2309.44,2331.8994396185863,Random Forest
2023-11-19,2284.63,2254.5547037553806,Random Forest
2023-11-20,2420.13,2426.842392984436,Random Forest
2023-11-21,2566.14,2582.07651086987,Random Forest
2023-11-22,2680.3,2691.4650302943705,Random Forest
2023-11-23,2462.94,2476.2154435108046,Random Forest
2023-11-24,2308.94,2317.133850574476,Random Forest
2023-11-25,2265.54,2283.630456265754,Random Forest
2023-11-26,2287.49,2278.872958574152,Random Forest
2023-11-27,2386.2,2400.252247524433,Random Forest
2023-11-28,2679.21875,2671.9333215385172,Random Forest
2023-11-29,2653.95,2633.486146519128,Random Forest
2023-11-30,2551.6,2552.067446264704,Random Forest
2023-12-01,2378.86,2345.3428143124024,Random Forest
2023-12-02,2221.12,2222.871530135323,Random Forest
2023-12-03,2356.13,2341.0579300396384,Random Forest
2023-12-04,2384.65,2383.5336010520664,Random Forest
2023-12-05,2645.84875,2634.7518740270752,Random Forest
2023-12-06,2694.2075,2680.421765571314,Random Forest
2023-12-07,2551.45,2561.766206357621,Random Forest
2023-12-08,2348.65,2321.779024131788,Random Forest
2023-12-09,2295.56,2315.7243246020803,Random Forest
2023-12-10,2323.6,2274.1204839334423,Random Forest
2023-12-11,2520.65,2534.831929985659,Random Forest
2023-12-12,2521.37,2512.856959144044,Random Forest
2023-12-13,2665.52875,2660.3496573589914,Random Forest
2023-12-14,2538.65,2533.5999528371854,Random Forest
2023-12-15,2306.13,2329.1958260419715,Random Forest
2023-12-16,2276.62,2291.319833698922,Random Forest
2023-12-17,2329.71,2309.0676030837985,Random Forest
2023-12-18,2447.85,2460.97634221705,Random Forest
2023-12-19,2596.3199999999997,2609.236621156685,Random Forest
2023-12-20,2598.91,2587.2395816411863,Random Forest
2023-12-21,2508.88875,2516.5650768265214,Random Forest
2023-12-22,2273.27,2282.109249943128,Random Forest
2023-12-23,2312.41,2330.2753736616996,Random Forest
2023-12-24,2277.57,2256.7754016198464,Random Forest
2023-12-25,2393.1,2400.508176421661,Random Forest
2023-12-26,2627.72,2609.674095512686,Random Forest
2023-12-27,2587.33,2619.4722008187373,Random Forest
2023-12-28,2542.6,2538.0688839455206,Random Forest
2023-12-29,2420.24,2380.028479855566,Random Forest
2023-12-30,2324.81,2334.633553785142,Random Forest
2023-12-31,2279.99,2268.974012035128,Random Forest
