task,vectorizer,model,accuracy,precision_macro,recall_macro,f1_macro
category,bag_of_words,random_forest,0.34162226169330967,0.27206586952169415,0.26407260476073885,0.2515934016387793
category,tfidf,logistic_regression,0.25636471284783896,0.25631185397019474,0.25842668852342626,0.25022484236224685
category,tfidf,random_forest,0.35050325636471286,0.2719133375275244,0.2642420543314619,0.2459565779976811
category,bag_of_words,naive_bayes,0.2551805802249852,0.24179717316156105,0.2438082689575108,0.24137025051325622
category,bag_of_words,logistic_regression,0.25044404973357015,0.24184633514130457,0.24171432016010638,0.2385613158771743
category,tfidf,naive_bayes,0.39372409709887507,0.32519570202100995,0.2562108886024176,0.1767589067552064
priority,bag_of_words,naive_bayes,0.36767317939609234,0.3379053950397994,0.3365637606045506,0.3358512450664681
priority,tfidf,logistic_regression,0.33570159857904086,0.3354975186635884,0.3362764410674921,0.3267259234261242
priority,bag_of_words,logistic_regression,0.335109532267614,0.3281460751007464,0.32823659860217586,0.3221564763692161
priority,bag_of_words,random_forest,0.43872113676731794,0.3354384866724902,0.33638939405640883,0.31436851239088565
priority,tfidf,random_forest,0.45056246299585556,0.3341150619590551,0.3373222171793632,0.30636668082496105
priority,tfidf,naive_bayes,0.47661338069863823,0.2858598335420945,0.32585075323739204,0.23862688056841064
